Fraction of Immunity,Average Infected Fraction
0.0,0.25480602081018283
0.025,0.2373100717244166
0.05,0.2251383776139004
0.07500000000000001,0.2057622386099606
0.1,0.19320355591473887
0.125,0.1593063137690676
0.15000000000000002,0.15560723305384383
0.17500000000000002,0.11966501666835033
0.2,0.10925143953934742
0.225,0.0758548944337812
0.25,0.006886028891807253
0.275,0.0011917163349833317
0.30000000000000004,0.00013609455500555612
0.325,6.950196989594909e-06
0.35000000000000003,0.0
0.375,0.0
0.4,0.0
0.42500000000000004,0.0
0.45,0.0
0.47500000000000003,0.0
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
0.8250000000000001,0.0
0.8500000000000001,0.0
0.875,0.0
0.9,0.0
0.925,0.0
0.9500000000000001,0.0
0.9750000000000001,0.0
1.0,0.0
