Fraction of Immunity,Average Infected Fraction
0.0,0.2547002626527932
0.025,0.2397934033740782
0.05,0.22477222951813314
0.07500000000000001,0.20979396908778664
0.1,0.1884891605212648
0.125,0.17155658147287603
0.15000000000000002,0.14681841600161633
0.17500000000000002,0.11906666329932315
0.2,0.09778437215880392
0.225,0.05952309324174159
0.25,0.03996824931811294
0.275,0.0006360238407919992
0.30000000000000004,0.00013650873825638953
0.325,8.098797858369532e-05
0.35000000000000003,7.768461460753611e-05
0.375,2.0305081321345592e-05
0.4,9.425194464087281e-06
0.42500000000000004,0.0
0.45,2.4143852914435804e-06
0.47500000000000003,9.09182745731892e-08
0.5,0.0
0.525,0.0
0.55,0.0
0.5750000000000001,0.0
0.6000000000000001,0.0
0.625,0.0
0.65,0.0
0.675,0.0
0.7000000000000001,0.0
0.7250000000000001,0.0
0.75,0.0
0.775,0.0
0.8,0.0
0.8250000000000001,0.0
0.8500000000000001,0.0
0.875,0.0
0.9,0.0
0.925,0.0
0.9500000000000001,0.0
0.9750000000000001,0.0
1.0,0.0
