p1,Variance,Error on Variance
0.2,0.0,0.0
0.21000000000000002,0.0,0.0
0.22000000000000003,0.0,0.0
0.23000000000000004,5.251055664229119e-07,9.07615937337286e-07
0.24000000000000005,0.0,0.0
0.25000000000000006,5.694569398832032e-06,9.193974008389627e-06
0.26000000000000006,0.0007912680983275052,0.0005395383346896758
0.2700000000000001,0.00012683736815684256,7.103054847009523e-05
0.2800000000000001,0.012049312840984988,0.002396027971120236
0.2900000000000001,0.020567824752191294,0.004935605089594471
0.3000000000000001,0.08074214904814819,0.01495673826596501
0.3100000000000001,1.1277970831879405,0.07889028092812535
0.3200000000000001,0.9336182865713257,0.042254618572828195
0.3300000000000001,0.7607966663523839,0.031898832455767745
0.34000000000000014,0.5923766769699752,0.02454275504757828
0.35000000000000014,0.5994914981509267,0.025254082034586414
0.36000000000000015,0.5945220534530934,0.026581767473931046
0.37000000000000016,0.5200905790814664,0.02570347235538264
0.38000000000000017,0.530312705932709,0.024660684226762104
0.3900000000000002,0.5325924607175868,0.022834484550763222
0.4000000000000002,0.5197613465044298,0.022577097856649478
0.4100000000000002,0.5087079938207404,0.022129247961221867
0.4200000000000002,0.46232308098643554,0.019968801889740817
0.4300000000000002,0.45265168479448187,0.020544973910058217
0.4400000000000002,0.47870937334231567,0.021020740269312478
0.45000000000000023,0.4615042938426137,0.020804125057164207
0.46000000000000024,0.4539793169972254,0.020401961441297724
0.47000000000000025,0.4408690482265782,0.01847190265768571
0.48000000000000026,0.41874423849382436,0.019115296635245586
0.49000000000000027,0.4356730774416821,0.019385218994283863
0.5000000000000002,0.4320976715457859,0.019219833125483976
